	Chromosome	Position	28RT_T1_vs_28RT_PBMC.tumour
1_69511	1	69511	-0.0765044550363979
1_923744	1	923744	-0.779200147117858
1_923955	1	923955	-0.847841812722989
1_923990	1	923990	-0.744305356671672
1_924533	1	924533	-0.81681785645604
1_930314	1	930314	-0.586555069175462
1_931042	1	931042	-1.27843277381313
1_935859	1	935859	-1.11139657745905
1_943364	1	943364	-1.57848176863978
1_943365	1	943365	-1.51944087331693
1_943896	1	943896	-0.623138837098455
1_943991	1	943991	-0.884994811140455
1_952062	1	952062	-0.840190777007007
1_954071	1	954071	-0.601201845139864
1_957132	1	957132	-0.884994811140455
1_957189	1	957189	-1.07111567293878
1_957213	1	957213	-0.800602623850082
1_961906	1	961906	-0.862710396742697
1_961957	1	961957	-0.967503677875025
1_962358	1	962358	-0.94912514856017
1_962739	1	962739	-0.808262612720321
1_963349	1	963349	-0.704888338180503
1_963472	1	963472	-1.16062925375388
1_963475	1	963475	-1.12746238981868
1_964135	1	964135	-0.705853997547806
1_965059	1	965059	-1.20354642408926
1_965125	1	965125	-1.07311386583562
1_966211	1	966211	-1.0911441534326
1_966708	1	966708	-0.843942911868114
1_970911	1	970911	-0.58347567624349
1_970922	1	970922	-0.541467179646924
1_970932	1	970932	-0.686090742726377
1_971132	1	971132	-0.739202079185939
1_973289	1	973289	-0.863877861941659
1_973549	1	973549	-0.565796509008665
1_973940	1	973940	-0.916944742811021
1_973946	1	973946	-0.927430077460851
1_974557	1	974557	-0.786853719661293
1_976536	1	976536	-0.964722003611189
1_978945	1	978945	-0.983613524945461
1_978996	1	978996	-1.00462026115187
1_979347	1	979347	-0.194237646396702
1_979355	1	979355	-0.190133248063965
1_979560	1	979560	-0.893983594367709
1_979654	1	979654	-0.987599296374806
1_980008	1	980008	-0.857202659119131
1_980234	1	980234	-0.489693529922873
1_981154	1	981154	-0.884994811140455
1_982112	1	982112	-0.761755012658449
1_999842	1	999842	-0.970186764088
1_1014042	1	1014042	-1.03318941334864
1_1014058	1	1014058	-1.03004514394374
1_1014217	1	1014217	-0.924463094325901
1_1014228	1	1014228	-0.972971890514538
1_1020239	1	1020239	-0.514722324414396
1_1022260	1	1022260	-0.912599272535057
1_1041183	1	1041183	-0.704012650723639
1_1041249	1	1041249	-0.643022020834491
1_1041648	1	1041648	-0.920555996363399
1_1043354	1	1043354	-0.621070950875967
1_1043839	1	1043839	-0.807106143687742
1_1045393	1	1045393	-0.58347567624349
1_1045965	1	1045965	-1.04866082211108
1_1046551	1	1046551	-0.546365979059763
1_1046845	1	1046845	-1.31477462087685
1_1046854	1	1046854	-1.23517620711894
1_1047403	1	1047403	-1.203939047589
1_1047626	1	1047626	-0.979498797603689
1_1048126	1	1048126	-0.607508718750696
1_1048900	1	1048900	-1.07623706646351
1_1049046	1	1049046	-0.838093836171426
1_1049746	1	1049746	-1.23410210727464
1_1049791	1	1049791	-0.985104445665737
1_1050785	1	1050785	-0.473546107346276
1_1051538	1	1051538	-0.507120601681057
1_1052014	1	1052014	-0.788660476366924
1_1053768	1	1053768	-0.770787907301658
1_1053827	1	1053827	-0.962930948085201
1_1053840	1	1053840	-0.802735661578647
1_1053915	1	1053915	-1.04642234991509
1_1053933	1	1053933	-0.823594266476312
1_1054917	1	1054917	-0.875124567116394
1_1055393	1	1055393	-0.63718114224543
1_1069443	1	1069443	-0.982677708271197
1_1069566	1	1069566	-1.42403410381641
1_1069577	1	1069577	-1.32386994189098
1_1071916	1	1071916	-0.708991144836455
1_1072052	1	1072052	-0.789344704523401
1_1072237	1	1072237	-0.909232421436658
1_1072454	1	1072454	-0.835914538112179
1_1083934	1	1083934	-1.02312573000395
1_1084003	1	1084003	-0.966612575289012
1_1087154	1	1087154	-0.466183584779523
1_1087155	1	1087155	-0.441521530545254
