chr	startpos	endpos	nMajor	nMinor
1	1185051	119895261	1	0
1	145873487	248745207	1	1
2	242800	241745694	1	1
3	319825	197985888	1	1
4	271152	188101170	1	1
5	139587	181005416	1	1
6	564145	170553212	1	0
7	775151	65960907	1	1
7	71273743	159058543	1	0
8	615232	13021321	1	0
8	13021553	144930861	2	0
9	271638	34726527	1	0
9	34726674	36110066	1	1
9	36169601	38615701	1	0
9	69228107	138058238	1	1
10	1000772	8062245	1	0
10	11314197	22386928	2	0
10	22550699	69343841	1	0
10	69632936	74111977	1	1
10	74380970	79285523	5	2
10	82985500	133527063	1	1
11	1086825	67460518	1	1
11	67460532	95847762	2	1
11	100356152	134374229	1	1
12	202783	133202210	1	0
13	19824529	53034497	1	1
13	66782796	67228207	2	0
13	72775221	114324544	1	1
14	19921447	106657835	1	1
15	19987698	101684138	1	1
16	58586	90074947	1	1
17	562535	21300945	1	0
17	27301794	83048511	1	1
18	224184	14752958	1	1
18	21574182	80138359	1	0
19	282753	58478128	1	1
20	158815	64086577	2	0
21	14109044	46602317	1	1
22	16784014	50577409	2	1
X	1389431	154830834	1	0
