sample	chr	startpos	endpos	nMajor	nMinor
127B_CM-_vs_127B_PBMC.tumour	1	1185051	248745207	1	1
127B_CM-_vs_127B_PBMC.tumour	2	242800	241745694	1	1
127B_CM-_vs_127B_PBMC.tumour	3	319825	74364525	1	1
127B_CM-_vs_127B_PBMC.tumour	3	81648979	98065331	1	0
127B_CM-_vs_127B_PBMC.tumour	3	98087772	197985888	1	1
127B_CM-_vs_127B_PBMC.tumour	4	271152	188101170	1	1
127B_CM-_vs_127B_PBMC.tumour	5	139587	43609241	2	1
127B_CM-_vs_127B_PBMC.tumour	5	52861540	181005416	1	1
127B_CM-_vs_127B_PBMC.tumour	6	564145	170553212	1	1
127B_CM-_vs_127B_PBMC.tumour	7	775151	57121011	2	0
127B_CM-_vs_127B_PBMC.tumour	7	64015061	159058543	1	0
127B_CM-_vs_127B_PBMC.tumour	8	615232	9706927	1	0
127B_CM-_vs_127B_PBMC.tumour	8	10353665	18400806	5	1
127B_CM-_vs_127B_PBMC.tumour	8	18871949	35726174	1	0
127B_CM-_vs_127B_PBMC.tumour	8	35726297	133461905	2	1
127B_CM-_vs_127B_PBMC.tumour	8	134512554	144930861	1	1
127B_CM-_vs_127B_PBMC.tumour	9	271638	138058238	1	1
127B_CM-_vs_127B_PBMC.tumour	10	1000772	133527063	1	1
127B_CM-_vs_127B_PBMC.tumour	11	1086825	4803995	1	0
127B_CM-_vs_127B_PBMC.tumour	11	4848419	48307092	2	1
127B_CM-_vs_127B_PBMC.tumour	11	48325588	134374229	1	1
127B_CM-_vs_127B_PBMC.tumour	12	202783	133202210	1	1
127B_CM-_vs_127B_PBMC.tumour	13	19824529	114324544	1	1
127B_CM-_vs_127B_PBMC.tumour	14	19921447	59530799	1	1
127B_CM-_vs_127B_PBMC.tumour	14	60053202	81278392	1	0
127B_CM-_vs_127B_PBMC.tumour	14	87941544	106657835	1	1
127B_CM-_vs_127B_PBMC.tumour	15	19987698	65702395	1	0
127B_CM-_vs_127B_PBMC.tumour	15	67670425	101684138	1	1
127B_CM-_vs_127B_PBMC.tumour	16	58586	31915298	1	0
127B_CM-_vs_127B_PBMC.tumour	16	46608374	90074947	1	1
127B_CM-_vs_127B_PBMC.tumour	17	562535	21300945	1	0
127B_CM-_vs_127B_PBMC.tumour	17	27301794	83048511	1	1
127B_CM-_vs_127B_PBMC.tumour	18	224184	14752958	1	1
127B_CM-_vs_127B_PBMC.tumour	18	21574182	37519525	2	1
127B_CM-_vs_127B_PBMC.tumour	18	42743532	80138359	1	0
127B_CM-_vs_127B_PBMC.tumour	19	282753	8677192	1	0
127B_CM-_vs_127B_PBMC.tumour	19	8677305	23654343	2	0
127B_CM-_vs_127B_PBMC.tumour	19	29708758	43914191	4	0
127B_CM-_vs_127B_PBMC.tumour	19	43914392	44618113	5	1
127B_CM-_vs_127B_PBMC.tumour	19	44892457	58478128	1	0
127B_CM-_vs_127B_PBMC.tumour	20	158815	51671197	1	1
127B_CM-_vs_127B_PBMC.tumour	20	51671251	54156202	4	0
127B_CM-_vs_127B_PBMC.tumour	20	54158989	56536315	3	0
127B_CM-_vs_127B_PBMC.tumour	20	57225881	58470611	11	1
127B_CM-_vs_127B_PBMC.tumour	20	58636982	58705519	12	1
127B_CM-_vs_127B_PBMC.tumour	20	58903752	64086577	2	0
127B_CM-_vs_127B_PBMC.tumour	21	14109044	46602317	1	1
127B_CM-_vs_127B_PBMC.tumour	22	16784014	50577409	1	0
127B_CM-_vs_127B_PBMC.tumour	X	1389431	2714441	2	1
127B_CM-_vs_127B_PBMC.tumour	X	2859944	57910281	2	0
127B_CM-_vs_127B_PBMC.tumour	X	64192810	154830834	1	0
