chr	startpos	endpos	nMajor	nMinor
1	1185051	248745207	1	1
2	242800	241745694	1	1
3	319825	74364525	1	1
3	81648979	98065331	1	0
3	98087772	197985888	1	1
4	271152	188101170	1	1
5	139587	43609241	2	1
5	52861540	181005416	1	1
6	564145	170553212	1	1
7	775151	57121011	2	0
7	64015061	159058543	1	0
8	615232	9706927	1	0
8	10353665	18400806	5	1
8	18871949	35726174	1	0
8	35726297	133461905	2	1
8	134512554	144930861	1	1
9	271638	138058238	1	1
10	1000772	133527063	1	1
11	1086825	4803995	1	0
11	4848419	48307092	2	1
11	48325588	134374229	1	1
12	202783	133202210	1	1
13	19824529	114324544	1	1
14	19921447	59530799	1	1
14	60053202	81278392	1	0
14	87941544	106657835	1	1
15	19987698	65702395	1	0
15	67670425	101684138	1	1
16	58586	31915298	1	0
16	46608374	90074947	1	1
17	562535	21300945	1	0
17	27301794	83048511	1	1
18	224184	14752958	1	1
18	21574182	37519525	2	1
18	42743532	80138359	1	0
19	282753	8677192	1	0
19	8677305	23654343	2	0
19	29708758	43914191	4	0
19	43914392	44618113	5	1
19	44892457	58478128	1	0
20	158815	51671197	1	1
20	51671251	54156202	4	0
20	54158989	56536315	3	0
20	57225881	58470611	11	1
20	58636982	58705519	12	1
20	58903752	64086577	2	0
21	14109044	46602317	1	1
22	16784014	50577409	1	0
X	1389431	2714441	2	1
X	2859944	57910281	2	0
X	64192810	154830834	1	0
