sample	chr	startpos	endpos	nMajor	nMinor
117B_CM-_vs_117B_PBMC.tumour	1	1185051	248745207	3	0
117B_CM-_vs_117B_PBMC.tumour	2	242800	20488758	3	1
117B_CM-_vs_117B_PBMC.tumour	2	21002409	27453420	3	0
117B_CM-_vs_117B_PBMC.tumour	2	27568688	27615191	2	1
117B_CM-_vs_117B_PBMC.tumour	2	28411923	44275649	3	1
117B_CM-_vs_117B_PBMC.tumour	2	44320435	85322745	3	0
117B_CM-_vs_117B_PBMC.tumour	2	85322751	85597128	2	1
117B_CM-_vs_117B_PBMC.tumour	2	85697606	241745694	3	0
117B_CM-_vs_117B_PBMC.tumour	3	319825	9825941	2	1
117B_CM-_vs_117B_PBMC.tumour	3	9829173	11884993	2	0
117B_CM-_vs_117B_PBMC.tumour	3	11886808	14682906	1	1
117B_CM-_vs_117B_PBMC.tumour	3	14714065	16771264	2	0
117B_CM-_vs_117B_PBMC.tumour	3	17009836	21757936	2	1
117B_CM-_vs_117B_PBMC.tumour	3	27256325	74364525	2	0
117B_CM-_vs_117B_PBMC.tumour	3	81648979	138162423	4	0
117B_CM-_vs_117B_PBMC.tumour	3	138314339	146085351	3	1
117B_CM-_vs_117B_PBMC.tumour	3	146199974	151827813	4	0
117B_CM-_vs_117B_PBMC.tumour	3	154301098	175097130	3	1
117B_CM-_vs_117B_PBMC.tumour	3	175233966	197985888	4	0
117B_CM-_vs_117B_PBMC.tumour	4	271152	129109497	3	0
117B_CM-_vs_117B_PBMC.tumour	4	134199911	177353411	4	0
117B_CM-_vs_117B_PBMC.tumour	4	182680694	185456380	3	0
117B_CM-_vs_117B_PBMC.tumour	4	185458745	186706638	3	1
117B_CM-_vs_117B_PBMC.tumour	4	186707244	188101170	3	0
117B_CM-_vs_117B_PBMC.tumour	5	139587	21751947	3	1
117B_CM-_vs_117B_PBMC.tumour	5	26988221	43609241	3	0
117B_CM-_vs_117B_PBMC.tumour	5	52861540	103555994	3	1
117B_CM-_vs_117B_PBMC.tumour	5	109378269	119238867	2	1
117B_CM-_vs_117B_PBMC.tumour	5	119393258	132868775	3	1
117B_CM-_vs_117B_PBMC.tumour	5	133199354	181005416	3	0
117B_CM-_vs_117B_PBMC.tumour	6	564145	170553212	3	0
117B_CM-_vs_117B_PBMC.tumour	7	775151	159058543	3	0
117B_CM-_vs_117B_PBMC.tumour	8	615232	144930861	4	0
117B_CM-_vs_117B_PBMC.tumour	9	271638	4564432	3	0
117B_CM-_vs_117B_PBMC.tumour	9	4576680	5774225	3	1
117B_CM-_vs_117B_PBMC.tumour	9	5859564	35062975	3	0
117B_CM-_vs_117B_PBMC.tumour	9	35105260	38615701	2	1
117B_CM-_vs_117B_PBMC.tumour	9	69228107	138058238	3	0
117B_CM-_vs_117B_PBMC.tumour	10	1000772	133527063	3	0
117B_CM-_vs_117B_PBMC.tumour	11	1086825	134374229	3	0
117B_CM-_vs_117B_PBMC.tumour	12	202783	133202210	4	0
117B_CM-_vs_117B_PBMC.tumour	13	19824529	53034497	4	0
117B_CM-_vs_117B_PBMC.tumour	13	66782796	67228207	3	3
117B_CM-_vs_117B_PBMC.tumour	13	72775221	79192053	1	3
117B_CM-_vs_117B_PBMC.tumour	13	91764804	102745233	4	0
117B_CM-_vs_117B_PBMC.tumour	13	102745587	114324544	2	2
117B_CM-_vs_117B_PBMC.tumour	14	19921447	24819307	2	2
117B_CM-_vs_117B_PBMC.tumour	14	30630532	47059348	3	2
117B_CM-_vs_117B_PBMC.tumour	14	47546779	76199913	4	0
117B_CM-_vs_117B_PBMC.tumour	14	76199929	81278392	3	2
117B_CM-_vs_117B_PBMC.tumour	14	87941544	106657835	4	0
117B_CM-_vs_117B_PBMC.tumour	15	19987698	78790778	4	1
117B_CM-_vs_117B_PBMC.tumour	15	78985169	101684138	2	2
117B_CM-_vs_117B_PBMC.tumour	16	58586	12908502	4	0
117B_CM-_vs_117B_PBMC.tumour	16	18838536	31915298	4	1
117B_CM-_vs_117B_PBMC.tumour	16	46608374	71970053	4	0
117B_CM-_vs_117B_PBMC.tumour	16	71973500	84872492	3	1
117B_CM-_vs_117B_PBMC.tumour	16	84889253	90074947	4	0
117B_CM-_vs_117B_PBMC.tumour	17	562535	20204926	2	0
117B_CM-_vs_117B_PBMC.tumour	17	20205876	21300945	2	1
117B_CM-_vs_117B_PBMC.tumour	17	27301794	43091983	3	2
117B_CM-_vs_117B_PBMC.tumour	17	43092418	83048511	4	0
117B_CM-_vs_117B_PBMC.tumour	18	224184	37519525	3	0
117B_CM-_vs_117B_PBMC.tumour	18	42743532	80138359	2	0
117B_CM-_vs_117B_PBMC.tumour	19	282753	603769	3	0
117B_CM-_vs_117B_PBMC.tumour	19	603826	1032703	4	0
117B_CM-_vs_117B_PBMC.tumour	19	1042810	2341049	3	1
117B_CM-_vs_117B_PBMC.tumour	19	2341061	2762587	3	0
117B_CM-_vs_117B_PBMC.tumour	19	2767194	3155904	2	1
117B_CM-_vs_117B_PBMC.tumour	19	3186087	15480241	3	0
117B_CM-_vs_117B_PBMC.tumour	19	15696495	16129917	4	0
117B_CM-_vs_117B_PBMC.tumour	19	16356948	58478128	3	0
117B_CM-_vs_117B_PBMC.tumour	20	158815	64086577	3	0
117B_CM-_vs_117B_PBMC.tumour	21	14109044	46602317	3	0
117B_CM-_vs_117B_PBMC.tumour	22	16784014	50577409	2	0
117B_CM-_vs_117B_PBMC.tumour	X	1389431	154830834	2	0
