sample	chr	startpos	endpos	nMajor	nMinor
71B_CM-_vs_71B_PBMC.tumour	1	1185051	248745207	2	1
71B_CM-_vs_71B_PBMC.tumour	2	242800	241745694	2	1
71B_CM-_vs_71B_PBMC.tumour	3	319825	197985888	2	1
71B_CM-_vs_71B_PBMC.tumour	4	271152	188101170	2	1
71B_CM-_vs_71B_PBMC.tumour	5	139587	181005416	2	0
71B_CM-_vs_71B_PBMC.tumour	6	564145	24174793	1	0
71B_CM-_vs_71B_PBMC.tumour	6	24437230	64912570	2	1
71B_CM-_vs_71B_PBMC.tumour	6	65296077	170553212	1	1
71B_CM-_vs_71B_PBMC.tumour	7	775151	57121011	2	2
71B_CM-_vs_71B_PBMC.tumour	7	64015061	65960907	1	2
71B_CM-_vs_71B_PBMC.tumour	7	71273743	159058543	2	1
71B_CM-_vs_71B_PBMC.tumour	8	615232	144930861	2	1
71B_CM-_vs_71B_PBMC.tumour	9	271638	138058238	2	0
71B_CM-_vs_71B_PBMC.tumour	10	1000772	133527063	1	1
71B_CM-_vs_71B_PBMC.tumour	11	1086825	134374229	2	2
71B_CM-_vs_71B_PBMC.tumour	12	202783	133202210	2	1
71B_CM-_vs_71B_PBMC.tumour	13	19824529	67228207	2	1
71B_CM-_vs_71B_PBMC.tumour	13	72775221	79192053	1	1
71B_CM-_vs_71B_PBMC.tumour	13	91764804	114324544	2	1
71B_CM-_vs_71B_PBMC.tumour	14	19921447	106657835	2	0
71B_CM-_vs_71B_PBMC.tumour	15	19987698	47770879	1	0
71B_CM-_vs_71B_PBMC.tumour	15	48134287	101684138	2	1
71B_CM-_vs_71B_PBMC.tumour	16	58586	90074947	2	1
71B_CM-_vs_71B_PBMC.tumour	17	562535	21300945	2	0
71B_CM-_vs_71B_PBMC.tumour	17	27301794	83048511	2	1
71B_CM-_vs_71B_PBMC.tumour	18	224184	80138359	2	0
71B_CM-_vs_71B_PBMC.tumour	19	282753	58478128	1	1
71B_CM-_vs_71B_PBMC.tumour	20	158815	64086577	2	2
71B_CM-_vs_71B_PBMC.tumour	21	14109044	46602317	1	1
71B_CM-_vs_71B_PBMC.tumour	22	16784014	50577409	2	1
71B_CM-_vs_71B_PBMC.tumour	X	1389431	64192810	1	0
71B_CM-_vs_71B_PBMC.tumour	X	70258899	154830834	2	0
